roomA,1508110940.09,800
150.811092787,1008.47485352,38.803352356,30.7776145935
150.811092787,1008.47485352,38.803352356,30.7776145935
150.811092787,1008.47485352,38.803352356,30.7776145935
150.811092787,1008.47485352,38.803352356,30.7776145935
150.811092787,1008.47485352,38.803352356,30.7776145935
150.811092788,1008.47485352,38.803352356,30.7776145935
150.811092788,1008.47485352,38.803352356,30.7776145935
150.811092788,1008.47485352,38.803352356,30.7776145935
150.811092788,1008.47485352,38.803352356,30.7776145935
150.811092789,1008.47485352,38.803352356,30.7776145935
150.811092789,1008.47485352,38.803352356,30.7776145935
150.811092789,1008.47485352,38.803352356,30.7776145935
150.811092789,1008.47485352,38.803352356,30.7776145935
150.811092789,1008.47485352,38.803352356,30.7776145935
150.81109279,1008.47387695,38.803352356,30.7776145935
150.81109279,1008.47387695,38.803352356,30.7776145935
150.81109279,1008.47387695,38.803352356,30.7776145935
150.811092791,1008.47387695,38.803352356,30.7776145935
150.811092791,1008.47387695,38.803352356,30.7776145935
150.811092791,1008.47387695,38.803352356,30.7776145935
150.811092791,1008.47387695,38.803352356,30.7776145935
150.811092791,1008.47387695,38.803352356,30.7776145935
150.811092792,1008.47387695,38.803352356,30.7776145935
150.811092792,1008.47387695,38.803352356,30.7776145935
150.811092792,1008.47387695,38.803352356,30.759803772
150.811092792,1008.47387695,40.2734413147,30.759803772
150.811092793,1008.47387695,40.2734413147,30.759803772
150.811092793,1008.47387695,40.2734413147,30.759803772
150.811092793,1008.47387695,40.2734413147,30.759803772
150.811092793,1008.47387695,40.2734413147,30.759803772
150.811092794,1008.47387695,40.2734413147,30.759803772
150.811092794,1008.4765625,40.2734413147,30.759803772
150.811092794,1008.4765625,40.2734413147,30.759803772
150.811092794,1008.4765625,40.2734413147,30.759803772
150.811092795,1008.4765625,40.2734413147,30.759803772
150.811092795,1008.4765625,40.2734413147,30.759803772
150.811092795,1008.4765625,40.2734413147,30.759803772
150.811092795,1008.4765625,40.2734413147,30.759803772
150.811092796,1008.4765625,40.2734413147,30.759803772
150.811092796,1008.4765625,40.2734413147,30.759803772
150.811092796,1008.4765625,40.2734413147,30.759803772
150.811092796,1008.4765625,40.2734413147,30.759803772
150.811092796,1008.4765625,40.2734413147,30.759803772
150.811092797,1008.4765625,40.2734413147,30.759803772
150.811092797,1008.4765625,40.2734413147,30.759803772
150.811092797,1008.4765625,40.2734413147,30.759803772
150.811092797,1008.4765625,40.2734413147,30.759803772
150.811092798,1008.4765625,40.2734413147,30.759803772
150.811092798,1008.47509766,40.2734413147,30.759803772
150.811092798,1008.47509766,40.2734413147,30.759803772
150.811092798,1008.47509766,40.2734413147,30.759803772
150.811092799,1008.47509766,40.2734413147,30.759803772
150.811092799,1008.47509766,40.2734413147,30.759803772
150.811092799,1008.47509766,40.2734413147,30.759803772
150.811092799,1008.47509766,40.2734413147,30.759803772
150.811092799,1008.47509766,40.2734413147,30.759803772
150.8110928,1008.47509766,40.2734413147,30.759803772
150.8110928,1008.47509766,40.2734413147,30.5816993713
150.8110928,1008.47509766,41.6912612915,30.5816993713
150.811092801,1008.47509766,41.6912612915,30.5816993713
150.811092801,1008.47509766,41.6912612915,30.5816993713
150.811092801,1008.47509766,41.6912612915,30.5816993713
150.811092801,1008.47509766,41.6912612915,30.5816993713
150.811092801,1008.47509766,41.6912612915,30.5816993713
150.811092802,1008.47509766,41.6912612915,30.5816993713
150.811092802,1008.47680664,41.6912612915,30.5816993713
150.811092802,1008.47680664,41.6912612915,30.5816993713
150.811092803,1008.47680664,41.6912612915,30.5816993713
150.811092803,1008.47680664,41.6912612915,30.5816993713
150.811092803,1008.47680664,41.6912612915,30.5816993713
150.811092803,1008.47680664,41.6912612915,30.5816993713
150.811092803,1008.47680664,41.6912612915,30.5816993713
150.811092804,1008.47680664,41.6912612915,30.5816993713
150.811092804,1008.47680664,41.6912612915,30.5816993713
150.811092804,1008.47680664,41.6912612915,30.5816993713
150.811092804,1008.47680664,41.6912612915,30.5816993713
150.811092804,1008.47680664,41.6912612915,30.5816993713
150.811092805,1008.47680664,41.6912612915,30.5816993713
150.811092805,1008.47680664,41.6912612915,30.5816993713
150.811092805,1008.47680664,41.6912612915,30.5816993713
150.811092805,1008.47680664,41.6912612915,30.5816993713
150.811092806,1008.47680664,41.6912612915,30.5816993713
150.811092806,1008.47680664,41.6912612915,30.5816993713
150.811092806,1008.47680664,41.6912612915,30.5816993713
150.811092806,1008.47680664,41.6912612915,30.5816993713
150.811092807,1008.47680664,41.6912612915,30.5816993713
150.811092807,1008.47680664,41.6912612915,30.5816993713
150.811092807,1008.47680664,41.6912612915,30.5816993713
150.811092807,1008.47680664,41.6912612915,30.5816993713
150.811092808,1008.47680664,41.6912612915,30.5816993713
150.811092808,1008.47680664,41.6912612915,30.5995101929
150.811092808,1008.47680664,42.7921943665,30.5995101929
150.811092808,1008.47680664,42.7921943665,30.5995101929
150.811092809,1008.47680664,42.7921943665,30.5995101929
150.811092809,1008.47680664,42.7921943665,30.5995101929
150.811092809,1008.47680664,42.7921943665,30.5995101929
150.811092809,1008.47680664,42.7921943665,30.5995101929
150.81109281,1008.47680664,42.7921943665,30.5995101929
150.81109281,1008.47680664,42.7921943665,30.5995101929
150.81109281,1008.47680664,42.7921943665,30.5995101929
150.81109281,1008.4765625,42.7921943665,30.5995101929
150.811092811,1008.4765625,42.7921943665,30.5995101929
150.811092811,1008.4765625,42.7921943665,30.5995101929
150.811092811,1008.4765625,42.7921943665,30.5995101929
150.811092811,1008.4765625,42.7921943665,30.5995101929
150.811092811,1008.4765625,42.7921943665,30.5995101929
150.811092812,1008.4765625,42.7921943665,30.5995101929
150.811092812,1008.4765625,42.7921943665,30.5995101929
150.811092812,1008.4765625,42.7921943665,30.5995101929
150.811092812,1008.4765625,42.7921943665,30.5995101929
150.811092813,1008.4765625,42.7921943665,30.5995101929
150.811092813,1008.4765625,42.7921943665,30.5995101929
150.811092813,1008.4765625,42.7921943665,30.5995101929
150.811092813,1008.4765625,42.7921943665,30.5995101929
150.811092813,1008.4765625,42.7921943665,30.5995101929
150.811092814,1008.4765625,42.7921943665,30.5995101929
150.811092814,1008.4765625,42.7921943665,30.5995101929
150.811092814,1008.48339844,42.7921943665,30.5995101929
150.811092815,1008.48339844,42.7921943665,30.5995101929
150.811092815,1008.48339844,42.7921943665,30.5995101929
150.811092815,1008.48339844,42.7921943665,30.5995101929
150.811092815,1008.48339844,42.7921943665,30.5995101929
150.811092815,1008.48339844,42.7921943665,30.5995101929
150.811092816,1008.48339844,42.7921943665,30.6351299286
150.811092816,1008.48339844,37.4770050049,30.6351299286
150.811092816,1008.48339844,37.4770050049,30.6351299286
150.811092816,1008.48339844,37.4770050049,30.6351299286
150.811092817,1008.48339844,37.4770050049,30.6351299286
150.811092817,1008.48339844,37.4770050049,30.6351299286
150.811092817,1008.48339844,37.4770050049,30.6351299286
150.811092817,1008.48339844,37.4770050049,30.6351299286
150.811092818,1008.48339844,37.4770050049,30.6351299286
150.811092818,1008.48339844,37.4770050049,30.6351299286
150.811092818,1008.48339844,37.4770050049,30.6351299286
150.811092818,1008.48046875,37.4770050049,30.6351299286
150.811092819,1008.48046875,37.4770050049,30.6351299286
150.811092819,1008.48046875,37.4770050049,30.6351299286
150.811092819,1008.48046875,37.4770050049,30.6351299286
150.811092819,1008.48046875,37.4770050049,30.6351299286
150.81109282,1008.48046875,37.4770050049,30.6351299286
150.81109282,1008.48046875,37.4770050049,30.6351299286
150.81109282,1008.48046875,37.4770050049,30.6351299286
150.81109282,1008.48046875,37.4770050049,30.6351299286
150.81109282,1008.48046875,37.4770050049,30.6351299286
150.811092821,1008.48046875,37.4770050049,30.6351299286
150.811092821,1008.48046875,37.4770050049,30.6351299286
150.811092821,1008.48046875,37.4770050049,30.6351299286
150.811092821,1008.48046875,37.4770050049,30.6351299286
150.811092822,1008.48046875,37.4770050049,30.6351299286
150.811092822,1008.48046875,37.4770050049,30.6351299286
150.811092822,1008.48046875,37.4770050049,30.6351299286
150.811092822,1008.48046875,37.4770050049,30.6351299286
150.811092822,1008.47167969,37.4770050049,30.6351299286
150.811092823,1008.47167969,37.4770050049,30.6351299286
150.811092823,1008.47167969,37.4770050049,30.6351299286
150.811092823,1008.47167969,37.4770050049,30.6351299286
150.811092824,1008.47167969,37.4770050049,30.6707515717
150.811092824,1008.47167969,39.3783187866,30.6707515717
150.811092824,1008.47167969,39.3783187866,30.6707515717
150.811092824,1008.47167969,39.3783187866,30.6707515717
150.811092825,1008.47167969,39.3783187866,30.6707515717
150.811092825,1008.47167969,39.3783187866,30.6707515717
150.811092825,1008.47167969,39.3783187866,30.6707515717
150.811092825,1008.47167969,39.3783187866,30.6707515717
150.811092825,1008.47167969,39.3783187866,30.6707515717
150.811092826,1008.47167969,39.3783187866,30.6707515717
150.811092826,1008.47167969,39.3783187866,30.6707515717
150.811092826,1008.47167969,39.3783187866,30.6707515717
150.811092826,1008.47167969,39.3783187866,30.6707515717
150.811092827,1008.46972656,39.3783187866,30.6707515717
150.811092827,1008.46972656,39.3783187866,30.6707515717
150.811092827,1008.46972656,39.3783187866,30.6707515717
150.811092827,1008.46972656,39.3783187866,30.6707515717
150.811092828,1008.46972656,39.3783187866,30.6707515717
150.811092828,1008.46972656,39.3783187866,30.6707515717
150.811093724,1009.24145508,39.0083312988,31.16381073
150.811093727,1009.24145508,39.0083312988,31.16381073
150.811093727,1009.24145508,39.0083312988,31.16381073
150.811093727,1009.24145508,39.0083312988,31.16381073
150.811093727,1009.24145508,39.0083312988,31.16381073
150.811093728,1009.24145508,39.0083312988,31.16381073
150.811093728,1009.24145508,39.0083312988,31.16381073
150.811093728,1009.24145508,39.0083312988,31.16381073
150.811093728,1009.24145508,39.0083312988,31.16381073
150.811093728,1009.24145508,39.0083312988,31.16381073
150.811093728,1009.24145508,39.0083312988,31.16381073
150.811093728,1009.24145508,39.0083312988,31.16381073
150.811093728,1009.24145508,39.0083312988,31.16381073
150.811093729,1009.24243164,39.0083312988,31.16381073
150.811093729,1009.24243164,39.0083312988,31.16381073
150.811093729,1009.24243164,39.0083312988,31.16381073
150.811093729,1009.24243164,39.0083312988,31.16381073
150.811093729,1009.24243164,39.0083312988,31.16381073
150.811093729,1009.24243164,39.0083312988,31.16381073
150.81109373,1009.24243164,39.0083312988,31.16381073
150.81109373,1009.24243164,39.0083312988,31.16381073
150.81109373,1009.24243164,39.0083312988,31.16381073
150.81109373,1009.24243164,39.0083312988,31.16381073
150.81109373,1009.24243164,39.0083312988,31.16381073
150.81109373,1009.24243164,39.0083312988,31.16381073
150.81109373,1009.24243164,39.0083312988,31.16381073
150.81109373,1009.24243164,39.0083312988,31.16381073
150.811093731,1009.24243164,39.0083312988,31.16381073
150.811093731,1009.24243164,39.0083312988,31.16381073
150.811093731,1009.24243164,39.0083312988,31.16381073
150.811093731,1009.24243164,39.0083312988,31.16381073
150.811093731,1009.24243164,39.0083312988,31.16381073
150.811093731,1009.24243164,39.0083312988,31.16381073
150.811093732,1009.24243164,38.5335044861,31.16381073
150.811093732,1009.24243164,38.5335044861,31.16381073
150.811093732,1009.24243164,38.5335044861,31.16381073
150.811093732,1009.24243164,38.5335044861,31.16381073
150.811093732,1009.24243164,38.5335044861,31.16381073
150.811093732,1009.24243164,38.5335044861,31.16381073
150.811093732,1009.24243164,38.5335044861,31.16381073
150.811093733,1009.24243164,38.5335044861,31.16381073
150.811093733,1009.25170898,38.5335044861,31.16381073
150.811093733,1009.25170898,38.5335044861,31.16381073
150.811093733,1009.25170898,38.5335044861,31.16381073
150.811093733,1009.25170898,38.5335044861,31.16381073
150.811093733,1009.25170898,38.5335044861,31.16381073
150.811093733,1009.25170898,38.5335044861,31.16381073
150.811093734,1009.25170898,38.5335044861,31.16381073
150.811093734,1009.25170898,38.5335044861,31.16381073
150.811093734,1009.25170898,38.5335044861,31.16381073
150.811093734,1009.25170898,38.5335044861,31.16381073
150.811093734,1009.25170898,38.5335044861,31.16381073
150.811093734,1009.25170898,38.5335044861,31.16381073
150.811093734,1009.25170898,38.5335044861,31.16381073
150.811093735,1009.25170898,38.5335044861,31.16381073
150.811093735,1009.25170898,38.5335044861,31.16381073
150.811093735,1009.25170898,38.5335044861,31.16381073
150.811093735,1009.25170898,38.5335044861,31.16381073
150.811093735,1009.25170898,38.5335044861,31.16381073
150.811093735,1009.25170898,38.5335044861,31.16381073
150.811093735,1009.25170898,38.5335044861,31.16381073
150.811093735,1009.25170898,38.5335044861,31.16381073
150.811093736,1009.25170898,38.5335044861,31.16381073
150.811093736,1009.25170898,38.5335044861,31.16381073
150.811093736,1009.25170898,38.5335044861,31.16381073
150.811093736,1009.25170898,38.5335044861,31.16381073
150.811093736,1009.25170898,38.5335044861,31.16381073
150.811093736,1009.25170898,38.5335044861,31.16381073
150.811093736,1009.25170898,38.5335044861,31.16381073
150.811093737,1009.25170898,38.5335044861,31.16381073
150.811093737,1009.25292969,38.5335044861,31.16381073
150.811093737,1009.25292969,38.5335044861,31.16381073
150.811093737,1009.25292969,38.5335044861,31.16381073
150.811093737,1009.25292969,38.5335044861,31.16381073
150.811093737,1009.25292969,38.5335044861,31.16381073
150.811093738,1009.25292969,38.5335044861,31.16381073
150.811093738,1009.25292969,38.5335044861,31.16381073
150.811093738,1009.25292969,38.5335044861,31.16381073
150.811093738,1009.25292969,38.5335044861,31.16381073
150.811093738,1009.25292969,38.5335044861,31.16381073
150.811093738,1009.25292969,38.5335044861,31.16381073
150.811093738,1009.25292969,38.5335044861,31.16381073
150.811093738,1009.25292969,38.5335044861,31.16381073
150.811093739,1009.25292969,38.5335044861,31.16381073
150.811093739,1009.25292969,38.5335044861,31.16381073
150.811093739,1009.25292969,38.5335044861,31.16381073
150.811093739,1009.25292969,38.5335044861,31.16381073
150.811093739,1009.25292969,38.5335044861,31.0539321899
150.811093739,1009.25292969,38.5335044861,31.0539321899
150.811093739,1009.25292969,39.4901885986,31.0539321899
150.81109374,1009.25292969,39.4901885986,31.0539321899
150.81109374,1009.25292969,39.4901885986,31.0539321899
150.81109374,1009.25292969,39.4901885986,31.0539321899
150.81109374,1009.25292969,39.4901885986,31.0539321899
150.81109374,1009.25292969,39.4901885986,31.0539321899
150.81109374,1009.25292969,39.4901885986,31.0539321899
150.81109374,1009.25292969,39.4901885986,31.0539321899
150.811093741,1009.25292969,39.4901885986,31.0539321899
150.811093741,1009.25292969,39.4901885986,31.0539321899
150.811093741,1009.25170898,39.4901885986,31.0539321899
150.811093741,1009.25170898,39.4901885986,31.0539321899
150.811093741,1009.25170898,39.4901885986,31.0539321899
150.811093741,1009.25170898,39.4901885986,31.0539321899
150.811093742,1009.25170898,39.4901885986,31.0539321899
150.811093742,1009.25170898,39.4901885986,31.0539321899
150.811093742,1009.25170898,39.4901885986,31.0539321899
150.811093742,1009.25170898,39.4901885986,31.0539321899
150.811093742,1009.25170898,39.4901885986,31.0539321899
150.811093742,1009.25170898,39.4901885986,31.0539321899
150.811093742,1009.25170898,39.4901885986,31.0539321899
150.811093742,1009.25170898,39.4901885986,31.0539321899
150.811093743,1009.25170898,39.4901885986,31.0539321899
150.811093743,1009.25170898,39.4901885986,31.0539321899
150.811093743,1009.25170898,39.4901885986,31.0539321899
150.811093743,1009.25170898,39.4901885986,31.0539321899
150.811093743,1009.25170898,39.4901885986,31.0539321899
150.811093743,1009.25170898,39.4901885986,31.0539321899
150.811093743,1009.25170898,39.4901885986,31.0539321899
150.811093744,1009.25170898,39.4901885986,31.0539321899
150.811093744,1009.25170898,39.4901885986,31.0539321899
150.811093744,1009.25170898,39.4901885986,31.0539321899
150.811093744,1009.25170898,39.4901885986,31.0539321899
150.811093744,1009.25170898,39.4901885986,31.0539321899
150.811093744,1009.25170898,39.4901885986,31.0539321899
